Time,Latitude (y),Longitude (x),NO2(t-1),NO2(t-2),NO2(t-3),NO2(t-4),NO2(t-5),NO2(t-6),NO2(t-7),NO2(t-8),NO2(t-9),NO2(t-10),NO2(t-11),NO2(t-12),NO2(t-13),NO2(t-14),NO2(t-15),NO2(t-16),NO2(t-17),NO2(t-18),NO2(t-22),NO2(t-27),NO2(t-28),NO2(t-29),Target_NO2(t)
2025-01-18,-7.023175017792986,112.7650311364311,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,4.2426283e-05,3.4744507375e-05,2.706273175e-05,1.9380956125e-05,2.304832733333333e-05,1.7438122e-05,1.747631e-05,1.7514498e-05,2.4459083e-05
2025-01-19,-7.023175017792986,112.7650311364311,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,4.2426283e-05,3.4744507375e-05,2.706273175e-05,2.0084327666666667e-05,1.7399934e-05,1.7438122e-05,1.747631e-05,2.6709892571428573e-05
2025-01-20,-7.023175017792986,112.7650311364311,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,4.2426283e-05,3.4744507375e-05,1.7120328e-05,2.0270731666666667e-05,1.7399934e-05,1.7438122e-05,2.8960702142857146e-05
2025-01-21,-7.023175017792986,112.7650311364311,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,4.2426283e-05,1.16991805e-05,2.314152933333333e-05,2.0270731666666667e-05,1.7399934e-05,3.1211511714285714e-05
2025-01-22,-7.023175017792986,112.7650311364311,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,3.9485373666666665e-05,1.9380956125e-05,2.6012327e-05,2.314152933333333e-05,2.0270731666666667e-05,3.3462321285714287e-05
2025-01-23,-7.023175017792986,112.7650311364311,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.654446433333333e-05,2.706273175e-05,2.304832733333333e-05,2.6012327e-05,2.314152933333333e-05,3.571313085714286e-05
2025-01-24,-7.023175017792986,112.7650311364311,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,3.3603555e-05,3.4744507375e-05,2.0084327666666667e-05,2.304832733333333e-05,2.6012327e-05,3.796394042857143e-05
2025-01-25,-7.023175017792986,112.7650311364311,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,1.7384446e-05,4.2426283e-05,1.7120328e-05,2.0084327666666667e-05,2.304832733333333e-05,4.021475e-05
2025-01-26,-7.023175017792986,112.7650311364311,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,2.2043628e-05,3.9485373666666665e-05,1.16991805e-05,1.7120328e-05,2.0084327666666667e-05,3.741971e-05
2025-01-27,-7.023175017792986,112.7650311364311,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,2.670281e-05,3.654446433333333e-05,1.9380956125e-05,1.16991805e-05,1.7120328e-05,3.462467e-05
2025-01-28,-7.023175017792986,112.7650311364311,3.462467e-05,3.741971e-05,4.021475e-05,3.796394042857143e-05,3.571313085714286e-05,3.3462321285714287e-05,3.1211511714285714e-05,2.8960702142857146e-05,2.6709892571428573e-05,2.4459083e-05,2.3889124714285717e-05,2.331916642857143e-05,2.2749208142857146e-05,2.2179249857142855e-05,2.160929157142857e-05,2.1039333285714287e-05,2.0469375e-05,2.35860925e-05,3.3603555e-05,2.706273175e-05,1.9380956125e-05,1.16991805e-05,3.182963e-05
